source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,q_group_5_s,q_group_6_s,q_group_7_s,q_group_8_s
28,star,0.38976852821517399,0.92466630581394615,0.61083888888544546,4.9001432685000922e+51,6.6771925515943687e+51,6.1102276994143683e+50,3.6925260673770679e+49,1.3173620228939885e+47,4.8706302442232211e+46,1.3505321861046227e+45,2.1105486625344862e+37,86114.02549634804
29,star,0.39100205016457706,0.82534671542640081,0.66670426256189963,4.9001432685000922e+51,6.6771925515943687e+51,6.1102276994143683e+50,3.6925260673770679e+49,1.3173620228939885e+47,4.8706302442232211e+46,1.3505321861046227e+45,2.1105486625344862e+37,86114.02549634804
30,star,0.70729579955926114,0.50891578673326843,0.047995118367865651,4.9001432685000922e+51,6.6771925515943687e+51,6.1102276994143683e+50,3.6925260673770679e+49,1.3173620228939885e+47,4.8706302442232211e+46,1.3505321861046227e+45,2.1105486625344862e+37,86114.02549634804
31,star,0.58638625587463,0.15437766051863458,0.49243279900273368,4.9001432685000922e+51,6.6771925515943687e+51,6.1102276994143683e+50,3.6925260673770679e+49,1.3173620228939885e+47,4.8706302442232211e+46,1.3505321861046227e+45,2.1105486625344862e+37,86114.02549634804
32,star,0.11335122014679767,0.62713885817093895,0.56966888438334728,4.8925587135264868e+51,6.679344892606089e+51,6.1452563526780455e+50,3.7211571834314455e+49,1.3251886640165668e+47,4.9086109178981963e+46,1.3685920862852932e+45,2.1601426611744421e+37,85980.079503690999
33,star,0.56485421147363246,0.12168291111608268,0.49699717252366243,4.8925587135264868e+51,6.679344892606089e+51,6.1452563526780455e+50,3.7211571834314455e+49,1.3251886640165668e+47,4.9086109178981963e+46,1.3685920862852932e+45,2.1601426611744421e+37,85980.079503690999
34,star,0.48597293361551275,0.38891061769315988,0.27724146415824963,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
35,star,0.48700622789413389,0.38883014139391742,0.27627960255021922,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
36,star,0.089337213228237691,0.61178496900133672,0.53103447011538385,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
37,star,0.1753608924009129,0.85503720194631572,0.096793734374995707,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
38,star,0.96833047646030335,0.61391717427797043,0.64213944640735376,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
39,star,0.58643407393112346,0.15610050479886239,0.49285022376492776,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
40,star,0.67651070485409004,0.46173369681755222,0.40233060436574147,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
41,star,0.48820758458324853,0.38867593023101249,0.27706263257468139,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
42,star,0.70209819952820041,0.39476941521518777,0.080925664424580518,4.8849330054342098e+51,6.6815089120281267e+51,6.1804750682894219e+50,3.7499436493673491e+49,1.3330577717956605e+47,4.9467976713202733e+46,1.3867499778732193e+45,2.2100057524267343e+37,85845.406732027099
43,star,0.39110029275052699,0.93745064693200852,0.56605735820750414,4.8771897321937436e+51,6.6837062940259373e+51,6.216236749022176e+50,3.7791739147632731e+49,1.3410481972033575e+47,4.9855731479495112e+46,1.4051878087388516e+45,2.2606375803840446e+37,85708.65771719128
44,star,0.49566874127342675,0.39630138750822347,0.28389764728912981,4.8771897321937436e+51,6.6837062940259373e+51,6.216236749022176e+50,3.7791739147632731e+49,1.3410481972033575e+47,4.9855731479495112e+46,1.4051878087388516e+45,2.2606375803840446e+37,85708.65771719128
45,star,0.92140106473590622,0.070632502210397977,0.10245294876021314,4.8771897321937436e+51,6.6837062940259373e+51,6.216236749022176e+50,3.7791739147632731e+49,1.3410481972033575e+47,4.9855731479495112e+46,1.4051878087388516e+45,2.2606375803840446e+37,85708.65771719128
46,star,0.89598443914898429,0.056640436242128618,0.10743688661479246,4.8771897321937436e+51,6.6837062940259373e+51,6.216236749022176e+50,3.7791739147632731e+49,1.3410481972033575e+47,4.9855731479495112e+46,1.4051878087388516e+45,2.2606375803840446e+37,85708.65771719128
47,star,0.40983638743864803,0.27680859181816697,0.34443862892910787,4.869428275396782e+51,6.6859088361438236e+51,6.2520824090388642e+50,3.8084728216969224e+49,1.3490573865558778e+47,5.0244396811704638e+46,1.4236689372292508e+45,2.3113883072456854e+37,85571.587574150355
48,star,0.39159953279800841,0.8246594338369837,0.66809604149281721,4.869428275396782e+51,6.6859088361438236e+51,6.2520824090388642e+50,3.8084728216969224e+49,1.3490573865558778e+47,5.0244396811704638e+46,1.4236689372292508e+45,2.3113883072456854e+37,85571.587574150355
