source_id,source_kind,sink_id,aexp,time_code,x_code,y_code,z_code,mass_msun,bondi_mdot_msun_per_year,eddington_mdot_msun_per_year,inflow_mdot_msun_per_year,radiative_efficiency,bolometric_luminosity_erg_s,accretion_rate_convention
10,agn,10,0.20849776467675274,-3.781113232382485,0.525385831568662,0.09696130591905629,0.8891347378273707,23007733.014292378,607.069689096873,0.1575395943729963,0.1575395943729963,0.32099416561619876,2.863804344750246e+45,instantaneous_inflow_rate_min_bondi_eddington
2788,agn,2788,0.20849776467675274,-3.781113232382485,0.5255332245211891,0.09721268544232002,0.8888091001118255,10806.461576167769,0.0,0.00044933530473624327,0.0,0.052907590057146514,0.0,instantaneous_inflow_rate_min_bondi_eddington
3125,agn,3125,0.20849776467675274,-3.781113232382485,0.5256301205568372,0.09694141697775722,0.8891839268679805,10726.256598956956,0.0,0.0003639079785335392,0.0,0.06484277818297657,0.0,instantaneous_inflow_rate_min_bondi_eddington
4258,agn,4258,0.20849776467675274,-3.781113232382485,0.5251994282196182,0.09696303741429996,0.8889056304309643,31263.11682410023,0.0,0.0018177408075704389,0.0,0.03783600947590715,0.0,instantaneous_inflow_rate_min_bondi_eddington
7325,agn,7325,0.20849776467675274,-3.781113232382485,0.5253024720544931,0.09713894885875364,0.8892681414434946,10087.532899171982,1.2087268299847647e-12,0.00038660344953192873,1.2087268299847647e-12,0.057401633107613814,3.929243040758122e+33,instantaneous_inflow_rate_min_bondi_eddington
17938,agn,17938,0.20849776467675274,-3.781113232382485,0.5249925791982968,0.09646923343591882,0.8891988144061861,14961.623079271347,0.0,0.00029287183946898304,0.0,0.11238441875608574,0.0,instantaneous_inflow_rate_min_bondi_eddington
23996,agn,23996,0.20849776467675274,-3.781113232382485,0.5255250171142345,0.09703730076174953,0.8891427584771644,10083.342940798932,6.432387885103816e-08,0.00038720415040643507,6.432387885103816e-08,0.057288742390048775,2.086882493846235e+38,instantaneous_inflow_rate_min_bondi_eddington
114442,agn,114442,0.20849776467675274,-3.781113232382485,0.525163944787199,0.09656373065302067,0.8888573717619805,10251.654567628459,2.592212107239336e-07,0.0003809279216893494,2.592212107239336e-07,0.05920444833240457,8.691232248666163e+38,instantaneous_inflow_rate_min_bondi_eddington
115817,agn,115817,0.20849776467675274,-3.781113232382485,0.5255609947652597,0.09717997560898192,0.8891140508419324,10110.890315834635,1.7910871732969164e-08,0.0003852290024477579,1.7910871732969164e-08,0.05773980968382686,5.856640329376467e+37,instantaneous_inflow_rate_min_bondi_eddington
123964,agn,123964,0.20849776467675274,-3.781113232382485,0.5254541257483848,0.09678385004755144,0.8891913959698441,10063.155673100451,0.0,0.0003869817844529216,0.0,0.05720693464823201,0.0,instantaneous_inflow_rate_min_bondi_eddington
