source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,aexp,mass_msun,inflow_mdot_msun_per_year,bolometric_luminosity_erg_s,radiative_efficiency,accretion_rate_convention
10,agn,0.525385831568662,0.09696130591905629,0.8891347378273707,3.0233417904686407e+54,4.906471924799786e+54,2.0927626824697706e+54,7.150678803048847e+53,1.6087339267553187e+52,0.20849776467675274,23007733.014292378,0.1575395943729963,2.863804344750246e+45,0.32099416561619876,instantaneous_inflow_rate_min_bondi_eddington
2788,agn,0.5255332245211891,0.09721268544232002,0.8888091001118255,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,10806.461576167769,0.0,0.0,0.052907590057146514,instantaneous_inflow_rate_min_bondi_eddington
3125,agn,0.5256301205568372,0.09694141697775722,0.8891839268679805,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,10726.256598956956,0.0,0.0,0.06484277818297657,instantaneous_inflow_rate_min_bondi_eddington
4258,agn,0.5251994282196182,0.09696303741429996,0.8889056304309643,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,31263.11682410023,0.0,0.0,0.03783600947590715,instantaneous_inflow_rate_min_bondi_eddington
7325,agn,0.5253024720544931,0.09713894885875364,0.8892681414434946,4.1481341809571567e+42,6.731856769662097e+42,2.871346019544424e+42,9.810989698050281e+41,2.207241076968926e+40,0.20849776467675274,10087.532899171982,1.2087268299847647e-12,3.929243040758122e+33,0.057401633107613814,instantaneous_inflow_rate_min_bondi_eddington
17938,agn,0.5249925791982968,0.09646923343591882,0.8891988144061861,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,14961.623079271347,0.0,0.0,0.11238441875608574,instantaneous_inflow_rate_min_bondi_eddington
23996,agn,0.5255250171142345,0.09703730076174953,0.8891427584771644,2.2031390052915717e+47,3.5753945220394183e+47,1.5250168238018127e+47,5.210770226169693e+46,1.1723002917976832e+45,0.20849776467675274,10083.342940798932,6.432387885103816e-08,2.086882493846235e+38,0.057288742390048775,instantaneous_inflow_rate_min_bondi_eddington
114442,agn,0.525163944787199,0.09656373065302067,0.8888573717619805,9.175405336691303e+47,1.4890433104540174e+48,6.351232250914342e+47,2.1701276599722346e+47,4.8822749394070576e+45,0.20849776467675274,10251.654567628459,2.592212107239336e-07,8.691232248666163e+38,0.05920444833240457,instantaneous_inflow_rate_min_bondi_eddington
115817,agn,0.5255609947652597,0.09717997560898192,0.8891140508419324,6.182903343940594e+46,1.0034009970831942e+47,4.279816932478129e+46,1.4623538768325183e+46,3.2899510093777184e+44,0.20849776467675274,10110.890315834635,1.7910871732969164e-08,5.856640329376467e+37,0.05773980968382686,instantaneous_inflow_rate_min_bondi_eddington
123964,agn,0.5254541257483848,0.09678385004755144,0.8891913959698441,0.0,0.0,0.0,0.0,0.0,0.20849776467675274,10063.155673100451,0.0,0.0,0.05720693464823201,instantaneous_inflow_rate_min_bondi_eddington
