ncpu        =        256
ndim        =          3
levelmin    =         10
levelmax    =         17
ngridmax    =    4687500
nstep_coarse=        277
 
boxlen      =  0.100000000000000E+01
time        = -0.572825373283300E+01
aexp        =  0.133590829098809E+00
H0          =  0.676600036621094E+02
omega_m     =  0.311100006103516E+00
omega_l     =  0.688899993896484E+00
omega_k     =  0.000000000000000E+00
omega_b     =  0.469999983906746E-01
unit_l      =  0.778404491688593E+26
unit_d      =  0.112303157553676E-26
unit_t      =  0.812403881944344E+16
 
ordering type=hilbert                                                                         
   DOMAIN   ind_min                 ind_max
       1   0.000000000000000E+00   0.866318056161280E+14
       2   0.866318056161280E+14   0.166828173164544E+15
       3   0.166828173164544E+15   0.250738462687232E+15
       4   0.250738462687232E+15   0.319454065983488E+15
       5   0.319454065983488E+15   0.377895465779200E+15
       6   0.377895465779200E+15   0.441945761513472E+15
       7   0.441945761513472E+15   0.502890591682560E+15
       8   0.502890591682560E+15   0.547062674358272E+15
       9   0.547062674358272E+15   0.592181932064768E+15
      10   0.592181932064768E+15   0.634100262109184E+15
      11   0.634100262109184E+15   0.685948161490944E+15
      12   0.685948161490944E+15   0.759651303391232E+15
      13   0.759651303391232E+15   0.820203786436608E+15
      14   0.820203786436608E+15   0.884157211213824E+15
      15   0.884157211213824E+15   0.960179667468288E+15
      16   0.960179667468288E+15   0.103274584106598E+16
      17   0.103274584106598E+16   0.109914665621914E+16
      18   0.109914665621914E+16   0.116275302209946E+16
      19   0.116275302209946E+16   0.121949877016986E+16
      20   0.121949877016986E+16   0.127721412126310E+16
      21   0.127721412126310E+16   0.136441503494963E+16
      22   0.136441503494963E+16   0.144419495031603E+16
      23   0.144419495031603E+16   0.151468122098893E+16
      24   0.151468122098893E+16   0.159542370788966E+16
      25   0.159542370788966E+16   0.163560183090381E+16
      26   0.163560183090381E+16   0.171026660206182E+16
      27   0.171026660206182E+16   0.176028754712986E+16
      28   0.176028754712986E+16   0.181294695081574E+16
      29   0.181294695081574E+16   0.187943870686822E+16
      30   0.187943870686822E+16   0.195332458466509E+16
      31   0.195332458466509E+16   0.202829965190758E+16
      32   0.202829965190758E+16   0.208862410755277E+16
      33   0.208862410755277E+16   0.217043542474752E+16
      34   0.217043542474752E+16   0.224273922785280E+16
      35   0.224273922785280E+16   0.232275674018611E+16
      36   0.232275674018611E+16   0.239118381036339E+16
      37   0.239118381036339E+16   0.247004097675264E+16
      38   0.247004097675264E+16   0.256375339378278E+16
      39   0.256375339378278E+16   0.265155442953421E+16
      40   0.265155442953421E+16   0.273096482652160E+16
      41   0.273096482652160E+16   0.281747398433178E+16
      42   0.281747398433178E+16   0.289811408827187E+16
      43   0.289811408827187E+16   0.295966207246336E+16
      44   0.295966207246336E+16   0.303495772530278E+16
      45   0.303495772530278E+16   0.310098580943667E+16
      46   0.310098580943667E+16   0.318242591185306E+16
      47   0.318242591185306E+16   0.327508884140851E+16
      48   0.327508884140851E+16   0.337308766384947E+16
      49   0.337308766384947E+16   0.343241852662579E+16
      50   0.343241852662579E+16   0.350708876443648E+16
      51   0.350708876443648E+16   0.357625615928525E+16
      52   0.357625615928525E+16   0.363338040501862E+16
      53   0.363338040501862E+16   0.369516872099430E+16
      54   0.369516872099430E+16   0.376301957205197E+16
      55   0.376301957205197E+16   0.381716553688678E+16
      56   0.381716553688678E+16   0.389282994428314E+16
      57   0.389282994428314E+16   0.396236114257510E+16
      58   0.396236114257510E+16   0.403747980810650E+16
      59   0.403747980810650E+16   0.410445397203354E+16
      60   0.410445397203354E+16   0.418230182173082E+16
      61   0.418230182173082E+16   0.423246874384794E+16
