ncpu        =        256
ndim        =          3
levelmin    =         10
levelmax    =         17
ngridmax    =    7031250
nstep_coarse=        905
 
boxlen      =  0.100000000000000E+01
time        = -0.329710424403925E+01
aexp        =  0.237164856809336E+00
H0          =  0.676600036621094E+02
omega_m     =  0.311100006103516E+00
omega_l     =  0.688899993896484E+00
omega_k     =  0.000000000000000E+00
omega_b     =  0.469999983906746E-01
unit_l      =  0.138190765830583E+27
unit_d      =  0.200710871308031E-27
unit_t      =  0.256046810647201E+17
 
ordering type=hilbert                                                                         
   DOMAIN   ind_min                 ind_max
       1   0.000000000000000E+00   0.989163740897280E+14
       2   0.989163740897280E+14   0.206517487644672E+15
       3   0.206517487644672E+15   0.294211516628992E+15
       4   0.294211516628992E+15   0.349531320519680E+15
       5   0.349531320519680E+15   0.415323919745024E+15
       6   0.415323919745024E+15   0.482979339075584E+15
       7   0.482979339075584E+15   0.519071762120704E+15
       8   0.519071762120704E+15   0.559825488445440E+15
       9   0.559825488445440E+15   0.604984013484032E+15
      10   0.604984013484032E+15   0.640062363656192E+15
      11   0.640062363656192E+15   0.691446010445824E+15
      12   0.691446010445824E+15   0.774264024203264E+15
      13   0.774264024203264E+15   0.828308651409408E+15
      14   0.828308651409408E+15   0.893456712536064E+15
      15   0.893456712536064E+15   0.965989632901120E+15
      16   0.965989632901120E+15   0.105242184751514E+16
      17   0.105242184751514E+16   0.110965023362253E+16
      18   0.110965023362253E+16   0.116991645108941E+16
      19   0.116991645108941E+16   0.122467845210112E+16
      20   0.122467845210112E+16   0.127930908964506E+16
      21   0.127930908964506E+16   0.137447776455885E+16
      22   0.137447776455885E+16   0.146104866461850E+16
      23   0.146104866461850E+16   0.153791818733978E+16
      24   0.153791818733978E+16   0.161930505926246E+16
      25   0.161930505926246E+16   0.165071884543590E+16
      26   0.165071884543590E+16   0.173655985643930E+16
      27   0.173655985643930E+16   0.177631618242970E+16
      28   0.177631618242970E+16   0.182398555154022E+16
      29   0.182398555154022E+16   0.189690977520845E+16
      30   0.189690977520845E+16   0.197715861648179E+16
      31   0.197715861648179E+16   0.204860795432653E+16
      32   0.204860795432653E+16   0.213060078587085E+16
      33   0.213060078587085E+16   0.220328029951590E+16
      34   0.220328029951590E+16   0.228316252681011E+16
      35   0.228316252681011E+16   0.235469726521754E+16
      36   0.235469726521754E+16   0.242877908333363E+16
      37   0.242877908333363E+16   0.252364495634637E+16
      38   0.252364495634637E+16   0.263304877074022E+16
      39   0.263304877074022E+16   0.271923544798003E+16
      40   0.271923544798003E+16   0.281226578472960E+16
      41   0.281226578472960E+16   0.289769640391475E+16
      42   0.289769640391475E+16   0.295531366858752E+16
      43   0.295531366858752E+16   0.302821743578317E+16
      44   0.302821743578317E+16   0.309923972697293E+16
      45   0.309923972697293E+16   0.319001746787533E+16
      46   0.319001746787533E+16   0.331298728231731E+16
      47   0.331298728231731E+16   0.339838228050739E+16
      48   0.339838228050739E+16   0.348770754703770E+16
      49   0.348770754703770E+16   0.355100159875482E+16
      50   0.355100159875482E+16   0.361567957771776E+16
      51   0.361567957771776E+16   0.367085805570458E+16
      52   0.367085805570458E+16   0.373742405261722E+16
      53   0.373742405261722E+16   0.378556463014707E+16
      54   0.378556463014707E+16   0.385465625319834E+16
      55   0.385465625319834E+16   0.392649471741133E+16
      56   0.392649471741133E+16   0.397857228351078E+16
      57   0.397857228351078E+16   0.406402049140326E+16
      58   0.406402049140326E+16   0.413037576060928E+16
      59   0.413037576060928E+16   0.420065639084851E+16
      60   0.420065639084851E+16   0.423978509454541E+16
      61   0.423978509454541E+16   0.429481203079578E+16
