ncpu        =        256
ndim        =          3
levelmin    =         10
levelmax    =         17
ngridmax    =    2539062
nstep_coarse=        247
 
boxlen      =  0.100000000000000E+01
time        = -0.601493814738063E+01
aexp        =  0.126095383776636E+00
H0          =  0.676600036621094E+02
omega_m     =  0.311100006103516E+00
omega_l     =  0.688899993896484E+00
omega_k     =  0.000000000000000E+00
omega_b     =  0.469999983906746E-01
unit_l      =  0.734730174032623E+26
unit_d      =  0.133543987416380E-26
unit_t      =  0.723797493991839E+16
 
ordering type=hilbert                                                                         
   DOMAIN   ind_min                 ind_max
       1   0.000000000000000E+00   0.862713974620160E+14
       2   0.862713974620160E+14   0.166554469662720E+15
       3   0.166554469662720E+15   0.250551566106624E+15
       4   0.250551566106624E+15   0.318902246309888E+15
       5   0.318902246309888E+15   0.377248813154304E+15
       6   0.377248813154304E+15   0.441502035607552E+15
       7   0.441502035607552E+15   0.502877269753856E+15
       8   0.502877269753856E+15   0.547054516436992E+15
       9   0.547054516436992E+15   0.592328284700672E+15
      10   0.592328284700672E+15   0.635337013460992E+15
      11   0.635337013460992E+15   0.686245079416832E+15
      12   0.686245079416832E+15   0.760506914177024E+15
      13   0.760506914177024E+15   0.822360307400704E+15
      14   0.822360307400704E+15   0.886431524323328E+15
      15   0.886431524323328E+15   0.960959382290432E+15
      16   0.960959382290432E+15   0.103470097393254E+16
      17   0.103470097393254E+16   0.110166063815066E+16
      18   0.110166063815066E+16   0.116389187649536E+16
      19   0.116389187649536E+16   0.122217534849024E+16
      20   0.122217534849024E+16   0.128022275633971E+16
      21   0.128022275633971E+16   0.136540581999411E+16
      22   0.136540581999411E+16   0.144557563659878E+16
      23   0.144557563659878E+16   0.151628543950848E+16
      24   0.151628543950848E+16   0.159682882699264E+16
      25   0.159682882699264E+16   0.163660000604979E+16
      26   0.163660000604979E+16   0.171294214376653E+16
      27   0.171294214376653E+16   0.176227678473421E+16
      28   0.176227678473421E+16   0.181457175681434E+16
      29   0.181457175681434E+16   0.188337089203405E+16
      30   0.188337089203405E+16   0.195616506799718E+16
      31   0.195616506799718E+16   0.203157118320640E+16
      32   0.203157118320640E+16   0.209437099189862E+16
      33   0.209437099189862E+16   0.217351039483904E+16
      34   0.217351039483904E+16   0.224727078744883E+16
      35   0.224727078744883E+16   0.232422930330419E+16
      36   0.232422930330419E+16   0.239326414136934E+16
      37   0.239326414136934E+16   0.247267806753587E+16
      38   0.247267806753587E+16   0.256635662499840E+16
      39   0.256635662499840E+16   0.265344187970355E+16
      40   0.265344187970355E+16   0.273247245434880E+16
      41   0.273247245434880E+16   0.281824316935373E+16
      42   0.281824316935373E+16   0.289898407500186E+16
      43   0.289898407500186E+16   0.296039641146982E+16
      44   0.296039641146982E+16   0.303523023928934E+16
      45   0.303523023928934E+16   0.310115445820621E+16
      46   0.310115445820621E+16   0.318255685802394E+16
      47   0.318255685802394E+16   0.327457619679642E+16
      48   0.327457619679642E+16   0.337225051432550E+16
      49   0.337225051432550E+16   0.343208497879450E+16
      50   0.343208497879450E+16   0.350666567660339E+16
      51   0.350666567660339E+16   0.357575133285581E+16
      52   0.357575133285581E+16   0.363322078029414E+16
      53   0.363322078029414E+16   0.369508714387866E+16
      54   0.369508714387866E+16   0.376300533950054E+16
      55   0.376300533950054E+16   0.381792294640026E+16
      56   0.381792294640026E+16   0.389301521507942E+16
      57   0.389301521507942E+16   0.396361907516211E+16
      58   0.396361907516211E+16   0.403817470518886E+16
      59   0.403817470518886E+16   0.410612738188902E+16
      60   0.410612738188902E+16   0.418258280382464E+16
      61   0.418258280382464E+16   0.423424232338227E+16
